game_id,time_elapsed,lead_diff,home_win,N_window,n_window,prior,alpha,beta,win_prob
401851183,0,0,1,22629,15061,,1,1,0.6655472581856745
401851183,1,0,1,28286,18826,,1,1,0.6655472285067874
401851183,2,0,1,33943,22591,,1,1,0.6655472087199882
401851183,3,0,1,39600,26356,,1,1,0.665547194586132
401851183,4,0,1,39599,26355,,1,1,0.6655387490214894
401851183,5,0,1,39598,26355,,1,1,0.6655555555555556
401851183,6,0,1,39597,26355,,1,1,0.665572362938458
401851183,7,0,1,39596,26355,,1,1,0.6655891711702612
401851183,8,0,1,39595,26355,,1,1,0.6656059802510291
401851183,9,0,1,39594,26355,,1,1,0.6656227901808264
401851183,10,0,1,39593,26355,,1,1,0.6656396009597171
401851183,11,0,1,39592,26355,,1,1,0.6656564125877659
401851183,12,0,1,39592,26355,,1,1,0.6656564125877659
401851183,13,0,1,39592,26355,,1,1,0.6656564125877659
401851183,14,0,1,39592,26354,,1,1,0.6656311562357933
401851183,15,0,1,39592,26353,,1,1,0.6656058998838208
401851183,16,0,1,39592,26352,,1,1,0.6655806435318483
401851183,17,0,1,39592,26351,,1,1,0.6655553871798757
401851183,18,0,1,39592,26350,,1,1,0.6655301308279032
401851183,19,0,1,39590,26347,,1,1,0.6654879773691655
401851183,20,0,1,39588,26344,,1,1,0.6654458196514271
401851183,21,0,1,39586,26342,,1,1,0.6654289178538951
401851183,22,0,1,39581,26338,,1,1,0.6654119192582675
401851183,23,0,1,39572,26332,,1,1,0.6654116339010462
401851183,24,0,1,39562,26326,,1,1,0.6654281670205237
401851183,25,0,1,39551,26319,,1,1,0.6654362500948094
401851183,26,0,1,39539,26313,,1,1,0.6654864570951671
401851183,27,0,1,39525,26305,,1,1,0.6655197712955702
401851183,28,0,1,39505,26292,,1,1,0.6655276280152884
401851183,29,0,1,39480,26276,,1,1,0.6655437921077959
401851183,30,0,1,39444,26253,,1,1,0.6655681184403995
401851183,31,0,1,39403,26226,,1,1,0.6655754345895191
401851183,32,0,1,39356,26193,,1,1,0.6655317851516845
401851183,33,0,1,39300,26153,,1,1,0.665462317439316
401851183,34,0,1,39235,26108,,1,1,0.6654178454010246
401851183,35,0,1,39163,26057,,1,1,0.6653389505936422
401851183,36,0,1,39090,26002,,1,1,0.665174460247621
401851183,37,0,1,39024,25950,,1,1,0.6649669451135141
401851183,38,0,1,38952,25891,,1,1,0.6646814191097191
401851183,39,0,1,38865,25827,,1,1,0.6645226027221036
401851183,40,0,1,38777,25766,,1,1,0.664457567240001
401851183,41,0,1,38682,25698,,1,1,0.6643315065660221
401851183,42,0,1,38582,25623,,1,1,0.6641094754302301
401851183,43,0,1,38471,25543,,1,1,0.6639461440490734
401851183,44,0,1,38348,25453,,1,1,0.663728813559322
401851183,45,0,1,38223,25366,,1,1,0.6636232831916286
401851183,46,0,1,38100,25271,,1,1,0.6632722691722219
401851183,47,0,1,37984,25176,,1,1,0.6627968198810088
401851183,48,0,1,37872,25084,,1,1,0.6623277182235835
401851183,49,0,1,37759,25001,,1,1,0.6621117025502502
401851183,50,0,1,37649,24919,,1,1,0.6618682106716953
401851183,51,0,1,37532,24841,,1,1,0.6618532530505675
401851183,52,0,1,37410,24760,,1,1,0.6618464663744253
401851183,53,0,1,37296,24692,,1,1,0.6620462223175505
401851183,54,2,1,33491,23077,,1,1,0.6890395007912101
401851183,55,2,1,33284,22962,,1,1,0.6898696148530914
401851183,56,2,1,33087,22843,,1,1,0.6903804889842546
401851183,57,2,1,32887,22720,,1,1,0.6908388823010733
401851183,58,2,1,32699,22597,,1,1,0.6910492033882756
401851183,59,2,1,32518,22474,,1,1,0.6911131611316114
401851183,60,2,1,32342,22358,,1,1,0.6912874103388573
401851183,61,2,1,32166,22232,,1,1,0.6911526983337478
401851183,62,2,1,31972,22094,,1,1,0.6910302120472884
401851183,63,2,1,31783,21963,,1,1,0.6910177756803524
401851183,64,2,1,31601,21840,,1,1,0.6911052748156821
401851183,65,2,1,31418,21715,,1,1,0.6911521323997454
401851183,66,2,1,31239,21590,,1,1,0.6911110399795141
401851183,67,2,1,31064,21466,,1,1,0.6910126826755939
401851183,68,2,1,30889,21346,,1,1,0.6910426985206047
401851183,69,2,1,30721,21236,,1,1,0.6912410897373303
401851183,70,2,1,30540,21110,,1,1,0.6912121013686071
401851183,71,2,1,30356,20988,,1,1,0.6913828315435799
401851183,72,2,1,30181,20871,,1,1,0.6915150912765464
401851183,73,2,1,30009,20759,,1,1,0.6917463596681217
401851183,74,2,1,29831,20642,,1,1,0.6919518653839708
401851183,75,2,1,29662,20524,,1,1,0.6919161272923409
401851183,76,2,1,29501,20400,,1,1,0.6914890011185303
401851183,77,2,1,29360,20297,,1,1,0.6913016824466998
401851183,78,2,1,29227,20197,,1,1,0.6910260357863766
401851183,79,2,1,29080,20094,,1,1,0.6909772367787635
401851183,80,2,1,28935,19994,,1,1,0.6909838614922073
401851183,81,2,1,28800,19898,,1,1,0.6908895215610027
401851183,82,2,1,28682,19822,,1,1,0.6910821363826524
401851183,83,2,1,28562,19759,,1,1,0.6917798627643187
401851183,84,2,1,28437,19692,,1,1,0.6924645732972327
401851183,85,2,1,28306,19621,,1,1,0.6931609439027837
401851183,86,2,1,28188,19558,,1,1,0.6938275984391629
401851183,87,2,1,28066,19492,,1,1,0.6944919481259798
401851183,88,2,1,27938,19425,,1,1,0.6952755905511812
401851183,89,2,1,27794,19346,,1,1,0.6960354007770903
401851183,90,2,1,27651,19256,,1,1,0.6963801395870249
401851183,91,2,1,27530,19184,,1,1,0.696825512131338
401851183,92,2,1,27422,19127,,1,1,0.6974912485414235
401851183,93,2,1,27301,19062,,1,1,0.6982016628209354
401851183,94,2,1,27177,18999,,1,1,0.6990691342580669
