game_id,time_elapsed,lead_diff,home_win,N_window,n_window,prior,alpha,beta,win_prob
401856600,0,0,1,22629,15061,,1,1,0.6655472581856745
401856600,1,0,1,28286,18826,,1,1,0.6655472285067874
401856600,2,0,1,33943,22591,,1,1,0.6655472087199882
401856600,3,0,1,39600,26356,,1,1,0.665547194586132
401856600,4,0,1,39599,26355,,1,1,0.6655387490214894
401856600,5,0,1,39598,26355,,1,1,0.6655555555555556
401856600,6,0,1,39597,26355,,1,1,0.665572362938458
401856600,7,0,1,39596,26355,,1,1,0.6655891711702612
401856600,8,0,1,39595,26355,,1,1,0.6656059802510291
401856600,9,0,1,39594,26355,,1,1,0.6656227901808264
401856600,10,0,1,39593,26355,,1,1,0.6656396009597171
401856600,11,0,1,39592,26355,,1,1,0.6656564125877659
401856600,12,0,1,39592,26355,,1,1,0.6656564125877659
401856600,13,0,1,39592,26355,,1,1,0.6656564125877659
401856600,14,0,1,39592,26354,,1,1,0.6656311562357933
401856600,15,0,1,39592,26353,,1,1,0.6656058998838208
401856600,16,0,1,39592,26352,,1,1,0.6655806435318483
401856600,17,0,1,39592,26351,,1,1,0.6655553871798757
401856600,18,0,1,39592,26350,,1,1,0.6655301308279032
401856600,19,0,1,39590,26347,,1,1,0.6654879773691655
401856600,20,0,1,39588,26344,,1,1,0.6654458196514271
401856600,21,0,1,39586,26342,,1,1,0.6654289178538951
401856600,22,0,1,39581,26338,,1,1,0.6654119192582675
401856600,23,0,1,39572,26332,,1,1,0.6654116339010462
401856600,24,0,1,39562,26326,,1,1,0.6654281670205237
401856600,25,0,1,39551,26319,,1,1,0.6654362500948094
401856600,26,0,1,39539,26313,,1,1,0.6654864570951671
401856600,27,0,1,39525,26305,,1,1,0.6655197712955702
401856600,28,0,1,39505,26292,,1,1,0.6655276280152884
401856600,29,0,1,39480,26276,,1,1,0.6655437921077959
401856600,30,0,1,39444,26253,,1,1,0.6655681184403995
401856600,31,0,1,39403,26226,,1,1,0.6655754345895191
401856600,32,0,1,39356,26193,,1,1,0.6655317851516845
401856600,33,0,1,39300,26153,,1,1,0.665462317439316
